"Blue 1" "Blue 2" "Blue 3" "Blue Cargo Points" "Blue Endgame Points" "Blue Hatch Points" "Blue RP" "Blue Sandstorm Points" "Blue Score" Event "Match Number" "Match Timestamp" "Match Type" "Red 1" "Red 2" "Red 3" "Red Cargo Points" "Red Endgame Points" "Red Hatch Points" "Red RP" "Red Sandstorm Points" "Red Score"
frc5544 frc4795 frc6500 24.0 18.0 8.0 3.0 9.0 74.0 2019ncpem 13.0 1553964937.0 qm frc3661 frc7715 frc7671 18.0 6.0 2.0 0.0 9.0 35.0
frc5607 frc2682 frc4816 21.0 6.0 4.0 0.0 15.0 46.0 2019ncpem 14.0 1553965461.0 qm frc3822 frc5511 frc6512 9.0 15.0 10.0 3.0 12.0 55.0
frc3737 frc7463 frc3215 15.0 6.0 2.0 2.0 9.0 32.0 2019ncpem 15.0 1553965946.0 qm frc3796 frc6729 frc7890 3.0 6.0 8.0 0.0 9.0 26.0
frc6215 frc7270 frc7443 12.0 6.0 4.0 0.0 12.0 34.0 2019ncpem 16.0 1553969084.0 qm frc3336 frc6214 frc435 24.0 6.0 6.0 2.0 15.0 51.0
frc4291 frc2642 frc4829 21.0 9.0 14.0 2.0 15.0 59.0 2019ncpem 17.0 1553969825.0 qm frc6004 frc6639 frc5160 15.0 6.0 2.0 0.0 15.0 41.0
frc7029 frc4534 frc6426 21.0 9.0 4.0 2.0 12.0 46.0 2019ncpem 18.0 1553970466.0 qm frc7675 frc7265 frc7739 6.0 3.0 0.0 0.0 9.0 18.0
frc7890 frc5607 frc3822 18.0 12.0 2.0 2.0 15.0 47.0 2019ncpem 19.0 1553970902.0 qm frc5544 frc6215 frc6214 21.0 9.0 2.0 0.0 12.0 44.0
frc3336 frc7265 frc3737 15.0 9.0 10.0 0.0 15.0 49.0 2019ncpem 2.0 1553959640.0 qm frc6639 frc6500 frc6426 21.0 6.0 8.0 2.0 15.0 53.0
frc5511 frc6500 frc4291 15.0 15.0 2.0 3.0 15.0 47.0 2019ncpem 20.0 1553971357.0 qm frc4829 frc3215 frc7443 6.0 6.0 4.0 0.0 12.0 31.0
frc6004 frc6512 frc3737 9.0 9.0 6.0 0.0 15.0 39.0 2019ncpem 21.0 1553971984.0 qm frc4795 frc7270 frc7029 18.0 18.0 2.0 3.0 3.0 41.0
frc4534 frc2682 frc3336 27.0 12.0 10.0 2.0 15.0 64.0 2019ncpem 22.0 1553972580.0 qm frc7671 frc5160 frc4816 6.0 6.0 2.0 0.0 9.0 23.0
frc435 frc6639 frc7463 21.0 6.0 6.0 2.0 12.0 45.0 2019ncpem 23.0 1553973148.0 qm frc6426 frc7739 frc3661 3.0 9.0 0.0 0.0 12.0 24.0
frc7675 frc3796 frc2642 18.0 6.0 4.0 0.0 9.0 37.0 2019ncpem 24.0 1553973734.0 qm frc6729 frc7265 frc7715 9.0 6.0 2.0 2.0 15.0 47.0
frc6512 frc3336 frc7671 21.0 9.0 6.0 2.0 15.0 51.0 2019ncpem 25.0 1553974460.0 qm frc3215 frc6215 frc5511 6.0 6.0 0.0 0.0 6.0 18.0
frc6426 frc7443 frc4795 15.0 18.0 4.0 1.0 15.0 52.0 2019ncpem 26.0 1553974940.0 qm frc4829 frc3737 frc7029 18.0 9.0 12.0 2.0 15.0 54.0
frc3661 frc4816 frc6729 0.0 3.0 8.0 0.0 15.0 26.0 2019ncpem 27.0 1553975603.0 qm frc5160 frc7890 frc7265 24.0 9.0 6.0 2.0 9.0 48.0
frc2642 frc7715 frc6639 24.0 9.0 10.0 2.0 15.0 58.0 2019ncpem 28.0 1553976039.0 qm frc3822 frc435 frc5544 21.0 9.0 12.0 0.0 9.0 51.0
frc4291 frc7675 frc5607 18.0 12.0 2.0 2.0 15.0 47.0 2019ncpem 29.0 1553976559.0 qm frc7739 frc6500 frc7270 18.0 6.0 0.0 0.0 12.0 39.0
frc3215 frc3661 frc2642 0.0 3.0 2.0 0.0 12.0 17.0 2019ncpem 3.0 1553960088.0 qm frc2682 frc7443 frc7739 27.0 6.0 6.0 2.0 12.0 51.0
frc2682 frc6214 frc6004 21.0 12.0 10.0 2.0 15.0 61.0 2019ncpem 30.0 1553977044.0 qm frc3796 frc7463 frc4534 3.0 12.0 8.0 0.0 12.0 35.0
frc3661 frc7443 frc5160 15.0 9.0 0.0 2.0 15.0 39.0 2019ncpem 31.0 1553977518.0 qm frc7715 frc6426 frc5544 15.0 9.0 2.0 0.0 6.0 35.0
frc7029 frc6512 frc3215 6.0 6.0 2.0 0.0 6.0 20.0 2019ncpem 32.0 1553978083.0 qm frc4291 frc7270 frc3822 6.0 6.0 6.0 2.0 9.0 27.0
frc7671 frc6004 frc5607 21.0 15.0 2.0 1.0 15.0 53.0 2019ncpem 33.0 1553978493.0 qm frc7890 frc4534 frc3737 21.0 15.0 12.0 3.0 15.0 63.0
frc4795 frc5511 frc3336 27.0 15.0 6.0 3.0 15.0 63.0 2019ncpem 34.0 1553978954.0 qm frc6729 frc6639 frc7739 0.0 6.0 10.0 0.0 9.0 25.0
